SÄMIKIELÂ UUCÂMSÄÄNI	SUOMI	SAAMEN_HAK	SUOMEN_HAK		SAAMEN_YHD	SUOMEN_YHD	SAAMEN_TAI	SUOMEN_HA2	SUOMEN_J_L	
áávusorroomäigi  -ääigi     	aukioloaika  	áávus	auki		orroomäigi	oloaika	-ääigi			
aavžâ  avžuu     	kehotus  	aavžâ	kehotus				avžuu			
aavžâ  avžuu     	suositus  	aavžâ	suositus				avžuu			
aavžâ  avžuu     	kehotus  	aavžâ	kehotus				avžuu			
abbâsiđ       	kiehua yli  	abbâsiđ	kiehua 			yli				
abiturienti  abiturieenti     	abiturientti  	abiturienti	abiturientti				abiturieenti			
absoluutlâš  absoluutlii     	absoluuttinen  	absoluutlâš	absoluuttinen				absoluutlii			
absoluutlâš  absoluutlii     	ehdoton  	absoluutlâš	ehdoton				absoluutlii			
abstrakt       	abstrakti  	abstrakt	abstrakti							
abstraktâ  abstraavtâ     	abstrakti  	abstraktâ	abstrakti				abstraavtâ			
acâkkâslamppu  -laampu     	hehkulamppu  	acâkkâs	hehku		lamppu	lamppu	-laampu			
acâkkistee       	hehkuva  	acâkkistee	hehkuva							
acâkkistiđ       	hehkua  	acâkkistiđ	hehkua							
acâtteijee       	hitsaaja  	acâtteijee	hitsaaja							
acâttempilli  -piiLi     	hitsauspilli  	acâttem	hitsaus		pilli	pilli	-piiLi			
acâttiđ  aaccât     	hitsata  	acâttiđ	hitsata				aaccât			
aččân       	kramppi  	aččân	kramppi							
aččân       	heinäsirkka  Acrididae	aččân	heinä			sirkka			Acrididae	
accee       	tulvavesi  	accee	tulva			vesi				
acceečääci  -čääsi     	tulva  	accee	tulva		čääci		-čääsi			
acceeđ  asam aca     	tihkua  (vesi nahan t. astian läpi)	acceeđ	tihkua				asam aca		(vesi nahan t. astian läpi)	
acceeđ  asam aca     	nousta  (nousuvedestä merellä)	acceeđ	nousta				asam aca		(nousuvedestä merellä)	
acceeđ  asam aca     	nousta  (vedestä vuotuisissa tulvassa)	acceeđ	nousta				asam aca		(vedestä vuotuisissa tulvassa)	
acceem       	vedennousu  (esim. tulvassa t. nousuveden aikaan)	acceem	veden			nousu			(esim. tulvassa t. nousuveden aikaan)	
aččin       	kramppi  	aččin	kramppi							
aččin       	heinäsirkka  Acrididae	aččin	heinä			sirkka			Acrididae	
aččinj       	kramppi  	aččinj	kramppi							
aččinj       	heinäsirkka  Acrididae	aččinj	heinä			sirkka			Acrididae	
aččinjčuol'mâ  -čuolmâ     	tuulenpesä  	aččinj	tuulen		čuol'mâ	pesä	-čuolmâ			
aččinjkálgu  -káálgu     	noita-akka  	aččinj	noita		kálgu	-akka	-káálgu			
aččinjkálgu  -káálgu     	syöjätär  	aččinj	syöjätär		kálgu		-káálgu			
aččinjkálgu  -káálgu     	staalon vaimo  	aččinj	staalon 		kálgu	vaimo	-káálgu			
aččinjriččâ  -riičâ     	suonenveto  	aččinj	suonen		riččâ	veto	-riičâ			
adai       	tai  	adai	tai							
adai       	eli  	adai	eli							
adai       	elikkä  	adai	elikkä							
ađai       	tai  	ađai	tai							
ađai       	eli  	ađai	eli							
ađai       	elikkä  	ađai	elikkä							
adaldâh~adaldoh~adalduh  adalduv     	lahja  	adaldâh~adaldoh~adalduh	lahja				adalduv			
adaldâh~adaldoh~adalduh  adalduv     	anti  	adaldâh~adaldoh~adalduh	anti				adalduv			
adaldâh~adaldoh~adalduh  adalduv     	almu  	adaldâh~adaldoh~adalduh	almu				adalduv			
adaldâh~adaldoh~adalduh  adalduv     	lahjakkuus  (taito, osaaminen)	adaldâh~adaldoh~adalduh	lahjakkuus				adalduv		(taito, osaaminen)	
adaluhčâđ  adâluuvčâm     	anniskella  	adaluhčâđ	anniskella				adâluuvčâm			
addâgâs        	anteeksi  	addâgâs 	anteeksi							
addâgâsaddeelhánnáá  # -s     	anteeksiantamaton  	addâgâs	anteeksi		addeelhánnáá	antamaton	# -s			
addâgâsadelem       	anteeksianto  	addâgâs	anteeksi		adelem	anto				
addâgâsânaddeelhánnáá  # -s     	anteeksiantamaton  	addâgâsân	anteeksi		addeelhánnáá	antamaton	# -s			
addâgâsânadelem       	anteeksianto  	addâgâsân	anteeksi		adelem	anto				
addalâš  addalii     	antelias  	addalâš	antelias				addalii			
addeliđ  addel~addeel     	antaa  	addeliđ	antaa				addel~addeel			
addiđ  addiim     	ymmärtää  	addiđ	ymmärtää				addiim			
ađđiistâllâđ  ađđiistâlâm     	matkia  	ađđiistâllâđ	matkia				ađđiistâlâm			
addiittâllâđ  addiittâlâm addiittâl     	tulla  ymmärretyksi	addiittâllâđ	tulla				addiittâlâm addiittâl		ymmärretyksi	
addiittâllâđ  addiittâlâm addiittâl     	ymmärtää  (toisiaan)	addiittâllâđ	ymmärtää				addiittâlâm addiittâl		(toisiaan)	
addiitteijee       	ymmärrettävissä  	addiitteijee	ymmärrettävissä							
addiitteijee       	ymmärrettävä  	addiitteijee	ymmärrettävä							
addiittijjee       	ymmärrettävissä  	addiittijjee	ymmärrettävissä							
addiittijjee       	ymmärrettävä  	addiittijjee	ymmärrettävä							
addliđ  addel~addeel     	antaa  	addliđ	antaa				addel~addeel			
adelâš  adelii     	avokätinen  	adelâš	avo			kätinen	adelii			
adelâš  adelii     	antelias  	adelâš	antelias				adelii			
adelâšvuotâ  adelâšvuođâ     	anteliaisuus  	adelâšvuotâ	anteliaisuus				adelâšvuođâ			
adelâttâđ  adelâđâm     	antautua  	adelâttâđ	antautua				adelâđâm			
adeliđ  addel~addeel     	antaa  	adeliđ	antaa				addel~addeel			
adeliđ čiel'giittâs tilijn       	tilittää  	adeliđ 	tilittää		čiel'giittâs tilijn					
adeliđ čiel'giittâs tilijn       	tilittää  	adeliđ 	tilittää		čiel'giittâs tilijn					
adeliđ kieđâ       	kätellä  	adeliđ 	kätellä		kieđâ					
adeliđ oonâ       	vihjaista  	adeliđ 	vihjaista		oonâ					
adeliđ pa'rgo       	työllistää  	adeliđ 	työllistää		pa'rgo					
adeliđ piäRán       	luovuttaa  (antaa periksi)	adeliđ 	luovuttaa		piäRán				(antaa periksi)	
adeliđ šielâst       	lahjoittaa  (antaa lahjaksi)	adeliđ 	lahjoittaa		šielâst				(antaa lahjaksi)	
adeliđ skeŋkkân       	lahjoittaa  (antaa lahjaksi)	adeliđ 	lahjoittaa		skeŋkkân				(antaa lahjaksi)	
adjektiiv       	adjektiivi  	adjektiiv	adjektiivi							
adjektijvâ  adjektiijvâ     	adjektiivi  	adjektijvâ	adjektiivi				adjektiijvâ			
adjektiv       	adjektiivi  	adjektiv	adjektiivi							
adoptiđ  adoptiim     	adoptoida  	adoptiđ	adoptoida				adoptiim			
adoptio       	adoptio  	adoptio	adoptio							
adoptiopärni  -päärni     	adoptiolapsi  	adoptio	adoptio		pärni	lapsi	-päärni			
advent       	adventti  	advent	adventti							
aforism       	aforismi  	aforism	aforismi							
aforism       	ajatelma  	aforism	ajatelma							
aforism       	ajatelma  	aforism	ajatelma							
aforismâ  aforiismâ     	aforismi  	aforismâ	aforismi				aforiismâ			
aforismâ  aforiismâ     	ajatelma  	aforismâ	ajatelma				aforiismâ			
afriklâš  afriklii     	afrikkalainen  	afriklâš	afrikkalainen				afriklii			
agâstâllâđ  agâstâlâm     	perustella  	agâstâllâđ	perustella				agâstâlâm			
agâstâllâđ  agâstâlâm     	argumentoida  	agâstâllâđ	argumentoida				agâstâlâm			
agâstâllâm       	perustelu  	agâstâllâm	perustelu							
aggâ  aagâ     	este  	aggâ	este				aagâ			
aggâ  aagâ     	syy  (tekosyy)	aggâ	syy				aagâ		(tekosyy)	
aggâ  aagâ     	peruste  	aggâ	peruste				aagâ			
aggâ  aagâ     	veruke  	aggâ	veruke				aagâ			
aggregaat       	agregaatti  	aggregaat	agregaatti							
aggressiivlâš  aggressiivlii     	agressiivinen  	aggressiivlâš	agressiivinen				aggressiivlii			
aggressiivlâš  aggressiivlii     	hyökkäävä  	aggressiivlâš	hyökkäävä				aggressiivlii			
agressijvâlâš  agressijvâlii     	agressiivinen  	agressijvâlâš	agressiivinen				agressijvâlii			
agressijvâlâš  agressijvâlii     	hyökkäävä  	agressijvâlâš	hyökkäävä				agressijvâlii			
-ahasâš  -ahasii     	-ikäinen  	-ahasâš	-ikäinen				-ahasii			
áhásiđ  ááhás~ááhâs     	juuttua  (kiinni)	áhásiđ	juuttua				ááhás~ááhâs		(kiinni)	
áhásiđ  ááhás~ááhâs     	jumittua  (jhk)	áhásiđ	jumittua				ááhás~ááhâs		(jhk)	
áhčááttâllâđ  áhčááttâlâm     	ahnehtia  (töitä, työnteossa)	áhčááttâllâđ	ahnehtia				áhčááttâlâm		(töitä, työnteossa)	
ahe  aVe     	ikä  	ahe	ikä				aVe			
ahelasattâs       	ikälisä  	ahe	ikä		lasattâs	lisä				
ahelaSe  -lase     	ikälisä  	ahe	ikä		laSe	lisä	-lase			
aheloppâ  -loopâ     	ikäloppu  	ahe	ikä		loppâ	loppu	-loopâ			
aheluokka  -luoka     	ikäluokka  	ahe	ikä		luokka	luokka	-luoka			
aheo'lgoštem       	ikäsyrjintä  	ahe	ikä		o'lgoštem	syrjintä				
aheo'lgoštem       	ikäsyrjintä  	ahe	ikä		o'lgoštem	syrjintä				
aheolmooš  -ulmuu     	ikäihminen  	ahe	ikä		olmooš	ihminen	-ulmuu			
ahevâšmâš       	kaipuu  	ahevâšmâš	kaipuu							
ahevâšmâš       	kaipaus  	ahevâšmâš	kaipaus							
ahevâššâđ  ahevâšâm     	ikävöidä  	ahevâššâđ	ikävöidä				ahevâšâm			
ahevâššâđ  ahevâšâm     	kaivata  	ahevâššâđ	kaivata				ahevâšâm			
ahevattuuh       	käärinliinat  	ahevattuuh	käärin			liinat				
ahevuššâđ  ahevušâm     	ikävöidä  	ahevuššâđ	ikävöidä				ahevušâm			
ahevuššâđ  ahevušâm     	kaivata  	ahevuššâđ	kaivata				ahevušâm			
ahheev       	ikävä  (subst.)	ahheev	ikävä						(subst.)	
ahheev  # ahevâs~ahevis ~ ahheevâs      	ikävä  (adj.)	ahheev	ikävä				# ahevâs~ahevis ~ ahheevâs 		(adj.)	
ahheevvuotâ  ahheevvuođâ     	ikävyys  	ahheevvuotâ	ikävyys				ahheevvuođâ			
áhju  ááhju     	ahjo  	áhju	ahjo				ááhju			
áhšu  ááhšu     	kirves  	áhšu	kirves				ááhšu			
